margin_deg,mean_reward,std_reward
0,3275.8984306267735,923.2459199306701
5,3275.115865379681,922.1285285341924
10,3274.6661796680496,922.4190894922276
15,3254.5043394217787,909.7532091296429
20,3254.5043394217787,909.7532091296429
30,3254.5043394217787,909.7532091296429
45,3254.5043394217787,909.7532091296429
